                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2612,                 2.6022,                 1.2548,                0.89174,                0.33485,                0.69424,                0.48594,                0.92552,                 2.0019,                0.90953,                0.00042,                0.00042,                0.00042
                      2,                 1.2066,                 1.4122,                 1.2101,                0.74613,                0.57349,                0.68528,                0.44825,                 1.1283,                 1.7819,                 1.0489,             0.00082594,             0.00082594,             0.00082594
                      3,                 1.1986,                 1.2461,                 1.2111,                0.82094,                0.63368,                0.75527,                0.51391,                0.99002,                 1.3484,                 1.1435,               0.001197,               0.001197,               0.001197
                      4,                 1.2222,                 1.2461,                 1.2143,                0.53206,                0.64228,                0.56279,                0.34424,                 1.1674,                 1.4874,                  1.209,              0.0015333,              0.0015333,              0.0015333
                      5,                 1.2548,                 1.2152,                 1.2455,                0.62325,                0.71545,                0.72193,                0.47118,                 1.2566,                 1.3766,                  1.304,              0.0016832,              0.0016832,              0.0016832
                      6,                  1.134,                 1.1365,                 1.1924,                0.80203,                0.65875,                0.76971,                 0.5085,                 1.0356,                 1.2508,                 1.1475,               0.001604,               0.001604,               0.001604
                      7,                 1.2162,                 1.1424,                 1.2244,                0.56872,                0.73984,                0.63515,                0.37463,                 1.1736,                 1.4384,                 1.1821,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.1911,                 1.1512,                 1.2383,                0.79313,                0.61789,                0.71904,                0.44624,                 1.0813,                 1.3562,                 1.1603,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.0947,                 1.0349,                 1.1665,                0.84164,                0.77779,                0.88626,                0.67719,                0.87821,                 1.1254,                 1.0292,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.1117,                  1.073,                 1.1856,                0.91466,                0.85366,                0.91394,                  0.666,                 0.9501,                0.92387,                 1.0442,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.0591,                0.96971,                 1.1275,                0.87244,                0.88968,                0.93181,                0.68567,                0.92921,                 0.9442,                 1.0646,               0.001208,               0.001208,               0.001208
                     12,                 1.0622,                0.98439,                 1.1656,                0.89537,                0.82114,                0.91951,                 0.7036,                0.92832,                0.79014,                 1.0689,              0.0011288,              0.0011288,              0.0011288
                     13,                  1.053,                0.97516,                 1.1554,                0.87225,                0.88818,                0.93892,                0.72246,                0.85645,                0.78945,                 1.0373,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.0007,                0.87003,                  1.128,                0.92448,                0.89567,                0.96333,                0.76439,                0.73325,                0.69437,                0.96011,              0.0009704,              0.0009704,              0.0009704
                     15,                0.97238,                0.83615,                 1.1112,                0.86292,                0.92125,                0.94023,                0.72147,                0.77909,                0.74643,                0.98352,              0.0008912,              0.0008912,              0.0008912
                     16,                0.74359,                0.75575,                0.99113,                0.97222,                 0.8536,                0.94936,                0.77969,                 0.7253,                0.71368,                0.94159,               0.000812,               0.000812,               0.000812
                     17,                0.72291,                0.67967,                0.98005,                0.94514,                0.90244,                 0.9659,                0.77413,                0.70289,                0.72774,                0.94271,              0.0007328,              0.0007328,              0.0007328
                     18,                0.66957,                  0.625,                 0.9408,                0.92639,                0.95935,                0.96996,                0.80929,                0.61206,                0.61786,                0.90626,              0.0006536,              0.0006536,              0.0006536
                     19,                0.69108,                0.63757,                 0.9663,                0.95886,                0.94739,                0.97382,                0.79501,                0.66719,                0.62488,                0.91923,              0.0005744,              0.0005744,              0.0005744
                     20,                0.66672,                0.60043,                 0.9379,                0.95929,                0.95935,                0.98184,                0.85408,                0.58417,                0.54495,                 0.8832,              0.0004952,              0.0004952,              0.0004952
                     21,                0.61097,                0.56359,                0.93625,                0.97102,                0.95935,                0.98758,                0.84333,                0.58206,                0.53705,                0.88312,               0.000416,               0.000416,               0.000416
                     22,                0.60983,                0.54116,                0.93758,                0.96942,                0.95935,                0.98854,                0.85241,                0.56288,                0.50779,                0.87665,              0.0003368,              0.0003368,              0.0003368
                     23,                0.58579,                0.51798,                0.89472,                0.97712,                0.94309,                0.98949,                0.86199,                0.51689,                 0.4729,                0.86324,              0.0002576,              0.0002576,              0.0002576
                     24,                 0.5516,                0.50371,                0.90696,                0.97187,                0.94309,                0.98731,                0.85329,                0.51712,                0.46391,                 0.8622,              0.0001784,              0.0001784,              0.0001784
                     25,                0.56934,                0.50125,                0.90739,                0.94605,                0.96748,                0.98624,                0.86408,                0.51328,                0.45819,                0.85973,               9.92e-05,               9.92e-05,               9.92e-05
